1	N	45
1	J	46
0	J	46
1	R	46
2	N	46
2	J	47
1	W	47
2	R	47
3	N	64
3	J	65
2	E	70
1	J	70
3	R	70
3	W	77
1	R	77
4	N	77
4	J	77
1	W	77
4	R	77
5	N	113
5	J	114
4	W	115
5	R	115
4	J	117
5	E	118
4	R	118
4	W	124
0	R	124
4	J	657
4	R	657
4	W	657
0	R	657
4	J	765
4	R	765
4	W	765
0	R	765
4	J	777
4	R	777
6	N	779
6	J	780
4	W	780
6	R	780
6	E	787
4	J	788
4	R	788
7	N	788
7	J	789
4	W	789
7	R	789
4	J	792
7	E	793
4	R	793
4	W	793
0	R	793
4	J	1917
4	R	1917
4	W	1917
0	R	1917
4	J	1976
4	R	1976
4	W	1976
0	R	1976
4	J	1977
4	R	1977
4	W	1977
0	R	1977
4	J	2022
4	R	2022
4	W	2022
0	R	2022
4	J	2217
4	R	2217
4	W	2217
0	R	2217
4	J	2277
4	R	2277
4	W	2277
0	R	2277
4	J	2727
4	R	2727
4	W	2727
0	R	2727
4	J	2787
4	R	2787
4	W	2787
0	R	2787
4	J	2817
4	R	2817
8	N	2818
8	J	2819
4	W	2820
8	R	2820
8	E	2825
4	J	2825
4	R	2825
9	N	2826
9	J	2827
4	W	2827
9	R	2827
4	J	2830
9	E	2830
4	R	2831
4	W	2831
0	R	2831
4	J	2847
4	R	2847
4	W	2847
0	R	2847
3	J	3075
3	R	3075
3	W	3077
0	R	3077
4	J	3293
4	R	3293
4	W	3293
0	R	3293
4	J	3346
4	R	3346
4	W	3346
0	R	3346
4	J	3357
4	R	3357
4	W	3357
0	R	3357
4	J	3417
4	R	3417
4	W	3417
0	R	3417
4	J	3622
4	R	3622
4	W	3622
0	R	3622
4	J	3652
4	R	3652
4	W	3652
0	R	3652
4	J	3742
4	R	3742
4	W	3742
0	R	3742
4	J	3782
4	R	3782
4	W	3782
0	R	3782
4	J	3802
4	R	3802
4	W	3802
0	R	3802
4	J	3862
4	R	3862
4	W	3862
0	R	3862
4	J	3922
4	R	3922
4	W	3922
0	R	3922
4	J	3982
4	R	3982
4	W	3982
0	R	3982
4	J	4009
4	R	4009
4	W	4009
0	R	4009
4	J	4042
4	R	4042
4	W	4042
0	R	4042
4	J	4102
4	R	4102
4	W	4102
0	R	4102
4	J	4132
4	R	4132
4	W	4132
0	R	4132
4	J	4162
4	R	4162
4	W	4162
0	R	4162
4	J	4222
4	R	4222
4	W	4222
0	R	4222
4	J	4402
4	R	4402
10	N	4403
10	J	4403
4	W	4404
10	R	4404
11	N	4407
11	J	4408
12	N	4408
12	J	4409
10	W	4409
12	R	4409
12	J	4509
11	R	4509
11	J	4609
12	R	4609
12	J	4709
11	R	4709
11	J	4809
12	R	4809
12	J	4909
11	R	4909
11	J	5009
12	R	5009
12	J	5109
11	R	5109
11	J	5209
12	R	5209
12	J	5309
11	R	5309
11	J	5409
12	R	5409
12	J	5509
11	R	5509
11	J	5609
12	R	5609
12	J	5709
11	R	5709
11	J	5809
12	R	5809
12	J	5909
11	R	5909
11	J	6009
12	R	6009
3	J	6109
12	J	6109
3	R	6109
3	W	6111
11	R	6112
11	J	6212
12	R	6212
12	J	6312
11	R	6312
11	J	6412
12	R	6412
12	E	6412
10	J	6412
10	R	6412
10	W	6413
11	R	6413
11	E	6413
10	J	6413
10	R	6413
10	E	6414
4	J	6414
4	R	6414
13	N	6415
13	J	6416
4	W	6416
13	R	6416
4	J	6419
13	E	6420
4	R	6420
4	W	6420
0	R	6420
3	J	9110
3	R	9110
3	W	9112
0	R	9112
3	J	12111
3	R	12111
3	W	12113
0	R	12113
3	J	15112
3	R	15112
